"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",2.461,0,0,2.461,0,0,2.461,0,0,2.461,0,0,2.461,0,0
"2",1,2,"f",18.967,18.764,0,12.204,6.459,0,12.204,6.459,0,12.204,6.459,0,12.204,6.459,0
"3",1,3,"t",25.969,30.253,0,2.651,6.016,0,2.651,6.016,0,2.651,6.016,0,2.651,6.016,0
"4",1,4,"a",4.113,0,0,4.113,0,0,4.113,0,0,4.113,0,0,4.113,0,0
"5",1,5,"f",16.213,26.651,0,3.297,7.071,0,3.297,7.071,0,3.297,7.071,0,3.297,7.071,0
"6",1,6,"t",18.013,33.619,0,4.249,3.875,0,4.249,3.875,0,4.249,3.875,0,4.249,3.875,0
"7",1,7,"a",6.901,1.189,0,6.901,1.189,0,6.901,1.189,0,6.901,1.189,0,6.901,1.189,0
"8",1,8,"f",11.974,21.677,0,5.96,5.055,0,5.96,5.055,0,5.96,5.055,0,5.96,5.055,0
"9",1,9,"t",2.925,11.322,0,0,5.096,0,0,5.096,0,0,5.096,0,0,5.096,0
