,child_name,same_num_trials,annotator,manual_trial_onset,manual_trial_offset,manual_trial_ordinal,trial_length,lookit_onset,lookit_offset,lookit_trial_length,lookit_trial_length_diff,lookit_onset_diff,lookit_offset_diff
2,cZM66C,True,GS,108375.0,146375.0,2.0,38000.0,108274.0,145652.00000000003,37378.00000000003,-621.9999999999709,-101.0,-722.9999999999709
3,cZM66C,True,GS,151250.0,189250.0,3.0,38000.0,150892.0,188248.00000000003,37356.00000000003,-643.9999999999709,-358.0,-1001.9999999999709
4,cZM66C,True,GS,194250.0,231375.0,4.0,37125.0,194291.00000000003,230867.00000000003,36576.0,-549.0,41.000000000029104,-507.9999999999709
5,cZM66C,True,GS,236375.0,248625.0,5.0,12250.0,235967.0,247618.00000000003,11651.00000000003,-598.9999999999709,-408.0,-1006.9999999999709
6,cZM66C,True,GS,253000.0,268000.0,6.0,15000.0,252692.0,266972.00000000006,14280.000000000058,-719.9999999999418,-308.0,-1027.9999999999418
7,cZM66C,True,GS,269750.0,284375.0,7.0,14625.0,271360.0,283261.0,11901.0,-2724.0,1610.0,-1114.0
8,cZM66C,True,GS,285500.0,315500.0,8.0,30000.0,286067.0,315173.0,29106.0,-894.0,567.0,-327.0
9,cZM66C,True,GS,335000.0,347000.0,9.0,12000.0,335182.0,346564.0,11382.0,-618.0,182.0,-436.0
10,cZM66C,True,GS,349125.0,358817.0,10.0,9692.0,349140.00000000006,359229.00000000006,10089.0,397.0,15.000000000058208,412.0000000000582
0,RKN6KW,True,AW,5412.0,39071.0,2.0,33659.0,6183.000000000001,37195.0,31012.0,-2647.0,771.0000000000009,-1876.0
1,RKN6KW,True,AW,39072.0,87977.0,3.0,48905.0,41486.00000000001,86555.0,45068.99999999999,-3836.0000000000073,2414.0000000000073,-1422.0
2,RKN6KW,True,AW,91542.0,124013.0,5.0,32471.0,92748.0,122554.0,29806.0,-2665.0,1206.0,-1459.0
3,RKN6KW,True,AW,124014.0,171929.0,6.0,47915.0,125166.00000000001,170235.0,45068.999999999985,-2846.0000000000146,1152.0000000000146,-1694.0
4,RKN6KW,True,AW,179982.0,214037.0,8.0,34055.0,180387.0,212858.0,32471.0,-1584.0,405.0,-1179.0
5,RKN6KW,True,AW,214038.0,264659.0,9.0,50621.0,218360.0,263456.0,45096.0,-5525.0,4322.0,-1203.0
6,RKN6KW,True,AW,269016.0,309143.0,11.0,40127.0,269407.00000000006,307344.0,37936.99999999994,-2190.000000000058,391.0000000000582,-1799.0
7,RKN6KW,True,AW,309144.0,361481.0,12.0,52337.0,314788.0,359997.0,45209.0,-7128.0,5644.0,-1484.0
0,FCKcA5,True,AW,5405.0,37637.0,2.0,32232.0,5147.0,36136.0,30989.0,-1243.0,-258.0,-1501.0
1,FCKcA5,True,AW,37638.0,84965.0,3.0,47327.0,38440.00000000001,83495.0,45054.99999999999,-2272.0000000000073,802.0000000000073,-1470.0
2,FCKcA5,True,AW,88944.0,119713.0,5.0,30769.0,88560.0,118349.0,29789.0,-980.0,-384.0,-1364.0
3,FCKcA5,True,AW,119714.0,175201.0,6.0,55487.0,120592.00000000001,165641.00000000003,45049.000000000015,-10437.999999999985,878.0000000000146,-9559.99999999997
4,FCKcA5,True,AW,179928.0,221067.0,8.0,41139.0,186179.0,218610.0,32431.0,-8708.0,6251.0,-2457.0
5,FCKcA5,True,AW,221068.0,268089.0,9.0,47021.0,220854.0,265901.0,45047.0,-1974.0,-214.0,-2188.0
6,FCKcA5,True,AW,271728.0,310045.0,11.0,38317.0,270857.0,308789.00000000006,37932.00000000006,-384.9999999999418,-871.0,-1255.9999999999418
7,FCKcA5,True,AW,310046.0,364547.0,12.0,54501.0,311092.00000000006,356171.00000000006,45079.0,-9422.0,1046.0000000000582,-8375.999999999942
8,FCKcA5,True,AW,373014.0,404735.0,14.0,31721.0,372517.0,403502.0,30985.0,-736.0,-497.0,-1233.0
9,FCKcA5,True,AW,404736.0,452131.0,15.0,47395.0,405779.00000000006,450842.00000000006,45063.0,-2332.0,1043.0000000000582,-1288.9999999999418
10,FCKcA5,True,AW,455770.0,487117.0,17.0,31347.0,455647.00000000006,485430.0,29782.99999999994,-1564.0000000000582,-122.99999999994179,-1687.0
11,FCKcA5,True,AW,487118.0,532879.0,18.0,45761.0,487644.0,532702.0,45058.0,-703.0,526.0,-177.0
0,QdY3DB,True,AW,5412.0,39005.0,2.0,33593.0,5420.0,37896.0,32476.0,-1117.0,8.0,-1109.0
1,QdY3DB,True,AW,39006.0,86921.0,3.0,47915.0,40855.00000000001,85973.0,45117.99999999999,-2797.0000000000073,1849.0000000000073,-948.0
2,QdY3DB,True,AW,91344.0,123221.0,5.0,31877.0,91163.00000000001,122204.00000000001,31041.0,-836.0,-180.99999999998545,-1016.9999999999854
3,QdY3DB,True,AW,123222.0,172721.0,6.0,49499.0,124775.0,169898.00000000003,45123.00000000003,-4375.999999999971,1553.0,-2822.999999999971
4,QdY3DB,True,AW,179388.0,218657.0,8.0,39269.0,179332.00000000003,217310.0,37977.99999999997,-1291.000000000029,-55.999999999970896,-1347.0
5,QdY3DB,True,AW,218658.0,266243.0,9.0,47585.0,219937.0,265088.0,45151.0,-2434.0,1279.0,-1155.0
6,QdY3DB,True,AW,270072.0,301091.0,11.0,31019.0,270205.00000000006,300032.00000000006,29827.0,-1192.0,133.0000000000582,-1058.9999999999418
7,QdY3DB,True,AW,301092.0,349667.0,12.0,48575.0,302645.00000000006,347850.0,45204.99999999994,-3370.000000000058,1553.0000000000582,-1817.0
0,24WJWG,True,GS,6319.0,54000.0,0.0,47681.0,7130.000000000001,52272.00000000001,45142.00000000001,-2538.9999999999927,811.0000000000009,-1727.9999999999927
1,24WJWG,True,GS,58220.0,106000.0,1.0,47780.0,58282.0,103724.0,45442.0,-2338.0,62.0,-2276.0
2,24WJWG,True,GS,109908.0,150000.0,2.0,40092.0,110245.0,148228.0,37983.0,-2109.0,337.0,-1772.0
3,24WJWG,True,GS,154851.0,200575.0,3.0,45724.0,153955.0,199085.0,45130.0,-594.0,-896.0,-1490.0
4,24WJWG,True,GS,204835.0,245021.0,4.0,40186.0,205024.0,244101.00000000003,39077.00000000003,-1108.999999999971,189.0,-919.9999999999709
5,24WJWG,True,GS,249636.0,274000.0,5.0,24364.0,249594.00000000003,272262.0,22667.99999999997,-1696.000000000029,-41.999999999970896,-1738.0
6,24WJWG,True,GS,277468.0,318287.0,6.0,40819.0,278085.00000000006,316344.0,38258.99999999994,-2560.000000000058,617.0000000000582,-1943.0
7,24WJWG,True,GS,322056.0,341000.0,7.0,18944.0,322153.0,339569.0,17416.0,-1528.0,97.0,-1431.0
8,24WJWG,True,GS,342575.0,356769.0,8.0,14194.0,343515.00000000006,355130.0,11614.999999999942,-2579.000000000058,940.0000000000582,-1639.0
9,24WJWG,True,GS,358763.0,388000.0,9.0,29237.0,359063.00000000006,387727.00000000006,28664.0,-573.0,300.0000000000582,-272.9999999999418
10,24WJWG,True,GS,390926.0,401004.0,10.0,10078.0,390682.0,400574.0,9892.0,-186.0,-244.0,-430.0
11,24WJWG,True,GS,403706.0,435869.0,11.0,32163.0,403689.0,430394.0,26705.0,-5458.0,-17.0,-5475.0
0,QJN4US,True,GS,5406.0,50966.0,0.0,45560.0,5367.0,50415.00000000001,45048.00000000001,-511.9999999999927,-39.0,-550.9999999999927
1,QJN4US,True,GS,55216.0,101048.0,1.0,45832.0,54935.0,99977.0,45042.0,-790.0,-281.0,-1071.0
2,QJN4US,True,GS,105060.0,150620.0,2.0,45560.0,104631.0,149673.0,45042.0,-518.0,-429.0,-947.0
3,QJN4US,True,GS,154530.0,185606.0,3.0,31076.0,154195.00000000003,185301.00000000003,31106.0,30.0,-334.9999999999709,-304.9999999999709
4,QJN4US,True,GS,190468.0,236164.0,4.0,45696.0,189984.0,235028.00000000003,45044.00000000003,-651.9999999999709,-484.0,-1135.999999999971
5,QJN4US,True,GS,239904.0,285668.0,5.0,45764.0,239534.00000000003,284575.00000000006,45041.00000000003,-722.9999999999709,-369.9999999999709,-1092.9999999999418
6,QJN4US,True,GS,289646.0,318410.0,6.0,28764.0,289255.0,317917.00000000006,28662.00000000006,-101.99999999994179,-391.0,-492.9999999999418
7,QJN4US,True,GS,323238.0,368628.0,7.0,45390.0,322760.00000000006,367803.0,45042.99999999994,-347.0000000000582,-477.9999999999418,-825.0
8,QJN4US,True,GS,370056.0,416112.0,8.0,46056.0,370700.00000000006,415744.0,45043.99999999994,-1012.0000000000582,644.0000000000582,-368.0
9,QJN4US,True,GS,417656.0,463747.0,9.0,46091.0,417967.00000000006,463011.0,45043.99999999994,-1047.0000000000582,311.0000000000582,-736.0
10,QJN4US,True,GS,465664.0,477836.0,10.0,12172.0,465028.0,477605.0,12577.0,405.0,-636.0,-231.0
11,QJN4US,True,GS,479298.0,526014.0,11.0,46716.0,479699.0,524750.0,45051.0,-1665.0,401.0,-1264.0
0,d5C2YU,True,GS,5890.0,51855.0,0.0,45965.0,8457.0,53566.0,45109.0,-856.0,2567.0,1711.0
1,d5C2YU,True,GS,58331.0,104756.0,1.0,46425.0,58519.00000000001,103576.00000000001,45057.00000000001,-1367.9999999999927,188.00000000000728,-1179.9999999999854
2,d5C2YU,True,GS,109094.0,141077.0,2.0,31983.0,108666.00000000001,139633.0,30966.999999999985,-1016.0000000000146,-427.99999999998545,-1444.0
3,d5C2YU,True,GS,144732.0,165561.0,3.0,20829.0,144504.00000000003,163924.0,19419.99999999997,-1409.000000000029,-227.9999999999709,-1637.0
4,d5C2YU,True,GS,169267.0,186916.0,4.0,17649.0,169128.0,185476.0,16348.0,-1301.0,-139.0,-1440.0
5,d5C2YU,True,GS,191193.0,229540.0,5.0,38347.0,190422.00000000003,227980.00000000003,37558.0,-789.0,-770.9999999999709,-1559.999999999971
6,d5C2YU,True,GS,233351.0,244043.0,6.0,10692.0,232925.0,243081.00000000003,10156.00000000003,-535.9999999999709,-426.0,-961.9999999999709
7,d5C2YU,True,GS,248752.0,256872.0,7.0,8120.0,248324.0,254229.0,5905.0,-2215.0,-428.0,-2643.0
8,d5C2YU,True,GS,257551.0,272400.0,8.0,14849.0,258829.0,270820.0,11991.0,-2858.0,1278.0,-1580.0
9,d5C2YU,True,GS,273048.0,309224.0,9.0,36176.0,274330.00000000006,307975.0,33644.99999999994,-2531.000000000058,1282.0000000000582,-1249.0
0,YPA6WA,True,AW,6298.0,38445.0,2.0,32147.0,5643.000000000001,36670.0,31027.0,-1120.0,-654.9999999999991,-1775.0
1,YPA6WA,True,AW,38446.0,86432.0,3.0,47986.0,39758.0,84889.00000000001,45131.000000000015,-2854.9999999999854,1312.0,-1542.9999999999854
2,YPA6WA,True,AW,91180.0,122199.0,5.0,31019.0,90330.00000000001,120148.00000000001,29818.0,-1201.0,-849.9999999999854,-2050.9999999999854
3,YPA6WA,True,AW,122200.0,172348.0,6.0,50148.0,122925.00000000001,168120.0,45194.999999999985,-4953.000000000015,725.0000000000146,-4228.0
4,YPA6WA,True,AW,182360.0,216434.0,8.0,34074.0,182166.00000000003,214632.0,32465.99999999997,-1608.000000000029,-193.9999999999709,-1802.0
5,YPA6WA,True,AW,216435.0,264092.0,9.0,47657.0,217517.00000000003,262705.00000000006,45188.00000000003,-2468.999999999971,1082.000000000029,-1386.9999999999418
6,YPA6WA,True,AW,268746.0,308366.0,11.0,39620.0,268124.0,306080.00000000006,37956.00000000006,-1663.9999999999418,-622.0,-2285.999999999942
7,YPA6WA,True,AW,308367.0,357528.0,12.0,49161.0,309196.0,354450.00000000006,45254.00000000006,-3906.999999999942,829.0,-3077.999999999942
0,HEc5NA,False,AW,5474.0,38589.0,2.0,33115.0,5764.0,35583.00000000001,29819.000000000007,-3295.9999999999927,290.0,-3005.9999999999927
1,HEc5NA,False,AW,38590.0,85747.0,3.0,47157.0,38562.00000000001,83672.00000000001,45110.00000000001,-2046.9999999999927,-27.999999999992724,-2074.9999999999854
0,BJFJAM,True,GS,4794.0,51714.0,0.0,46920.0,5650.0,50704.0,45054.0,-1866.0,856.0,-1010.0
1,BJFJAM,True,GS,55284.0,76840.0,1.0,21556.0,55254.00000000001,75980.0,20725.999999999993,-830.0000000000073,-29.999999999992724,-860.0
2,BJFJAM,True,GS,80716.0,124338.0,2.0,43622.0,80625.0,123520.00000000001,42895.000000000015,-726.9999999999854,-91.0,-817.9999999999854
3,BJFJAM,True,GS,128044.0,159358.0,3.0,31314.0,128105.00000000001,158512.0,30406.999999999985,-907.0000000000146,61.00000000001455,-846.0
4,BJFJAM,True,GS,163438.0,184110.0,4.0,20672.0,163297.0,183291.00000000003,19994.00000000003,-677.9999999999709,-141.0,-818.9999999999709
5,BJFJAM,True,GS,187714.0,197900.0,5.0,10186.0,187823.0,197518.0,9695.0,-491.0,109.0,-382.0
6,BJFJAM,True,GS,203116.0,212350.0,6.0,9234.0,202084.0,211660.00000000003,9576.00000000003,342.0000000000291,-1032.0,-689.9999999999709
7,BJFJAM,True,GS,214064.0,241128.0,7.0,27064.0,214150.0,240207.00000000003,26057.00000000003,-1006.9999999999709,86.0,-920.9999999999709
8,BJFJAM,True,GS,242998.0,256428.0,8.0,13430.0,242393.00000000003,250670.00000000003,8277.0,-5153.0,-604.9999999999709,-5757.999999999971
0,7G5JR3,True,GS,5445.0,38699.0,0.0,33254.0,5361.000000000001,37830.00000000001,32469.000000000007,-784.9999999999927,-83.99999999999909,-868.9999999999927
1,7G5JR3,True,GS,40194.0,86856.0,1.0,46662.0,40379.00000000001,85428.00000000001,45049.00000000001,-1612.9999999999927,185.00000000000728,-1427.9999999999854
2,7G5JR3,True,GS,90783.0,122024.0,2.0,31241.0,90555.0,121581.0,31026.0,-215.0,-228.0,-443.0
3,7G5JR3,True,GS,124047.0,170445.0,3.0,46398.0,124103.00000000001,169150.0,45046.999999999985,-1351.0000000000146,56.00000000001455,-1295.0
4,7G5JR3,True,GS,201465.0,239768.0,4.0,38303.0,201349.00000000003,239318.0,37968.99999999997,-334.0000000000291,-115.9999999999709,-450.0
5,7G5JR3,True,GS,241494.0,288222.0,5.0,46728.0,241698.0,286756.0,45058.0,-1670.0,204.0,-1466.0
6,7G5JR3,True,GS,291984.0,322169.0,6.0,30185.0,291874.0,321701.0,29827.0,-358.0,-110.0,-468.0
7,7G5JR3,True,GS,323763.0,372174.0,7.0,48411.0,324302.0,369378.00000000006,45076.00000000006,-3334.999999999942,539.0,-2795.999999999942
8,7G5JR3,True,GS,432630.0,466191.0,8.0,33561.0,432303.00000000006,464767.00000000006,32464.0,-1097.0,-326.9999999999418,-1423.9999999999418
9,7G5JR3,True,GS,467049.0,512942.0,9.0,45893.0,467258.00000000006,512314.00000000006,45056.0,-837.0,209.0000000000582,-627.9999999999418
10,7G5JR3,True,GS,517671.0,550473.0,10.0,32802.0,517441.00000000006,548469.0,31027.99999999994,-1774.0000000000582,-229.9999999999418,-2004.0
11,7G5JR3,True,GS,551298.0,595931.0,11.0,44633.0,550898.0,595954.0000000001,45056.00000000012,423.0000000001164,-400.0,23.000000000116415
0,5G7cHW,False,GS,5202.0,38474.0,0.0,33272.0,,,,,,
1,5G7cHW,False,GS,40018.0,86870.0,1.0,46852.0,,,,,,
2,5G7cHW,False,GS,90644.0,122182.0,2.0,31538.0,,,,,,
3,5G7cHW,False,GS,123828.0,171428.0,3.0,47600.0,,,,,,
4,5G7cHW,False,GS,198254.0,237000.0,4.0,38746.0,,,,,,
5,5G7cHW,False,GS,238782.0,284668.0,5.0,45886.0,,,,,,
6,5G7cHW,False,GS,289170.0,319000.0,6.0,29830.0,,,,,,
7,5G7cHW,False,GS,321470.0,368730.0,7.0,47260.0,,,,,,
0,V56UPN,True,GS,5214.0,51348.0,0.0,46134.0,5336.0,50474.00000000001,45138.00000000001,-995.9999999999927,122.0,-873.9999999999927
1,V56UPN,True,GS,55374.0,101376.0,1.0,46002.0,55156.00000000001,100264.00000000001,45108.00000000001,-893.9999999999927,-217.99999999999272,-1111.9999999999854
2,V56UPN,True,GS,105270.0,151140.0,2.0,45870.0,105187.00000000001,150250.0,45062.999999999985,-807.0000000000146,-82.99999999998545,-890.0
3,V56UPN,True,GS,154968.0,201102.0,3.0,46134.0,154979.0,200040.00000000003,45061.00000000003,-1072.999999999971,11.0,-1061.999999999971
4,V56UPN,True,GS,204864.0,250734.0,4.0,45870.0,204772.00000000003,249872.0,45099.99999999997,-770.0000000000291,-91.9999999999709,-862.0
5,V56UPN,True,GS,254562.0,300828.0,5.0,46266.0,254580.0,299684.0,45104.0,-1162.0,18.0,-1144.0
6,V56UPN,True,GS,304722.0,350658.0,6.0,45936.0,304649.0,349760.00000000006,45111.00000000006,-824.9999999999418,-73.0,-897.9999999999418
7,V56UPN,True,GS,354552.0,400346.0,7.0,45794.0,354485.0,399602.00000000006,45117.00000000006,-676.9999999999418,-67.0,-743.9999999999418
8,V56UPN,True,GS,403392.0,420816.0,8.0,17424.0,402072.0,419873.00000000006,17801.00000000006,377.0000000000582,-1320.0,-942.9999999999418
9,V56UPN,True,GS,421542.0,468732.0,9.0,47190.0,422204.0,467361.00000000006,45157.00000000006,-2032.9999999999418,662.0,-1370.9999999999418
10,V56UPN,True,GS,469986.0,515922.0,10.0,45936.0,469602.00000000006,514736.0,45133.99999999994,-802.0000000000582,-383.9999999999418,-1186.0
11,V56UPN,True,GS,517176.0,565686.0,11.0,48510.0,516739.00000000006,561877.0000000001,45138.00000000006,-3371.999999999942,-436.9999999999418,-3808.9999999998836
0,BHZZPE,True,GS,7644.0,55172.0,0.0,47528.0,7887.0,54003.0,46116.0,-1412.0,243.0,-1169.0
1,BHZZPE,True,GS,64428.0,110864.0,1.0,46436.0,64470.0,110134.0,45664.0,-772.0,42.0,-730.0
2,BHZZPE,True,GS,122772.0,169624.0,2.0,46852.0,123428.00000000001,168633.0,45204.999999999985,-1647.0000000000146,656.0000000000146,-991.0
3,BHZZPE,True,GS,174408.0,220480.0,3.0,46072.0,174292.0,219568.0,45276.0,-796.0,-116.0,-912.0
4,BHZZPE,True,GS,225472.0,271596.0,4.0,46124.0,225454.0,270619.0,45165.0,-959.0,-18.0,-977.0
5,BHZZPE,True,GS,276380.0,314340.0,5.0,37960.0,276446.0,313467.00000000006,37021.00000000006,-938.9999999999418,66.0,-872.9999999999418
6,BHZZPE,True,GS,319332.0,365612.0,6.0,46280.0,319473.0,364722.00000000006,45249.00000000006,-1030.9999999999418,141.0,-889.9999999999418
7,BHZZPE,True,GS,370916.0,417092.0,7.0,46176.0,370853.0,416176.00000000006,45323.00000000006,-852.9999999999418,-63.0,-915.9999999999418
8,BHZZPE,True,GS,419536.0,440491.0,8.0,20955.0,419831.0,438881.0,19050.0,-1905.0,295.0,-1610.0
9,BHZZPE,True,GS,441532.0,459264.0,9.0,17732.0,442632.0,458609.00000000006,15977.000000000058,-1754.9999999999418,1100.0,-654.9999999999418
10,BHZZPE,True,GS,461292.0,497068.0,10.0,35776.0,461715.00000000006,496219.00000000006,34504.0,-1272.0,423.0000000000582,-848.9999999999418
11,BHZZPE,True,GS,498836.0,525668.0,11.0,26832.0,499280.00000000006,525060.0000000001,25780.00000000006,-1051.9999999999418,444.0000000000582,-607.9999999998836
0,5WDNVZ,False,AW,140012.0,170883.0,2.0,30871.0,5830.0,18897.000000000004,13067.000000000004,-17803.999999999996,-134182.0,-151986.0
1,5WDNVZ,False,AW,170884.0,221135.0,3.0,50251.0,55853.0,86859.00000000001,31006.000000000015,-19244.999999999985,-115031.0,-134276.0
2,5WDNVZ,False,AW,228922.0,262887.0,5.0,33965.0,89772.0,134828.0,45056.0,11091.0,-139150.0,-128059.0
3,5WDNVZ,False,AW,262888.0,310793.0,6.0,47905.0,140099.00000000003,169895.0,29795.99999999997,-18109.00000000003,-122788.99999999997,-140898.0
4,5WDNVZ,False,AW,533596.0,567833.0,8.0,34237.0,172805.0,217866.0,45061.0,10824.0,-360791.0,-349967.0
5,5WDNVZ,False,AW,567834.0,613223.0,9.0,45389.0,228722.0,261171.0,32449.0,-12940.0,-339112.0,-352052.0
6,5WDNVZ,False,AW,618018.0,648379.0,11.0,30361.0,264156.0,309219.0,45063.0,14702.0,-353862.0,-339160.0
7,5WDNVZ,False,AW,648380.0,694581.0,12.0,46201.0,314544.00000000006,352493.0,37948.99999999994,-8252.000000000058,-333835.99999999994,-342088.0
0,JSEL4H,False,AW,5746.0,43485.0,2.0,37739.0,7411.000000000001,39179.0,31768.0,-5971.0,1665.000000000001,-4306.0
1,JSEL4H,False,AW,43486.0,99721.0,3.0,56235.0,53537.00000000001,98581.0,45043.99999999999,-11191.000000000007,10051.000000000007,-1140.0
2,JSEL4H,False,AW,103836.0,146709.0,5.0,42873.0,106417.0,144898.0,38481.0,-4392.0,2581.0,-1811.0
3,JSEL4H,False,AW,146710.0,198355.0,6.0,51645.0,149762.0,194782.0,45020.0,-6625.0,3052.0,-3573.0
4,JSEL4H,False,AW,206448.0,240107.0,8.0,33659.0,207677.00000000003,238652.00000000003,30975.0,-2684.0,1229.000000000029,-1454.999999999971
5,JSEL4H,False,AW,240108.0,257359.0,9.0,17251.0,243388.0,288421.0,45033.0,27782.0,3280.0,31062.0
0,LFNGJV,True,AW,5950.0,38589.0,2.0,32639.0,5454.000000000001,36637.0,31183.0,-1456.0,-495.9999999999991,-1952.0
1,LFNGJV,True,AW,38590.0,86155.0,3.0,47565.0,39168.0,84230.0,45062.0,-2503.0,578.0,-1925.0
2,LFNGJV,True,AW,90610.0,121549.0,5.0,30939.0,89279.00000000001,119292.0,30012.999999999985,-926.0000000000146,-1330.9999999999854,-2257.0
3,LFNGJV,True,AW,121550.0,170985.0,6.0,49435.0,121695.00000000001,166746.0,45050.999999999985,-4384.000000000015,145.00000000001455,-4239.0
4,LFNGJV,True,AW,176290.0,210017.0,8.0,33727.0,174862.00000000003,207549.0,32686.99999999997,-1040.000000000029,-1427.999999999971,-2468.0
5,LFNGJV,True,AW,210018.0,257515.0,9.0,47497.0,209941.0,255001.0,45060.0,-2437.0,-77.0,-2514.0
6,LFNGJV,True,AW,262378.0,300967.0,11.0,38589.0,260242.00000000003,298388.00000000006,38146.00000000003,-442.9999999999709,-2135.999999999971,-2578.999999999942
7,LFNGJV,True,AW,300968.0,350573.0,12.0,49605.0,300754.0,345831.0,45077.0,-4528.0,-214.0,-4742.0
8,LFNGJV,True,AW,365840.0,397153.0,14.0,31313.0,363423.0,394624.0,31201.0,-112.0,-2417.0,-2529.0
9,LFNGJV,True,AW,397154.0,444481.0,15.0,47327.0,397052.0,442115.0,45063.0,-2264.0,-102.0,-2366.0
10,LFNGJV,True,AW,448290.0,479637.0,17.0,31347.0,447127.0,477116.00000000006,29989.00000000006,-1357.9999999999418,-1163.0,-2520.999999999942
11,LFNGJV,True,AW,479638.0,526193.0,18.0,46555.0,479827.00000000006,524871.0,45043.99999999994,-1511.0000000000582,189.0000000000582,-1322.0
0,TMT2Uc,True,AW,5134.0,36447.0,2.0,31313.0,5041.0,34812.00000000001,29771.000000000007,-1541.9999999999927,-93.0,-1634.9999999999927
1,TMT2Uc,True,AW,36448.0,85203.0,3.0,48755.0,37011.0,82045.0,45034.0,-3721.0,563.0,-3158.0
2,TMT2Uc,True,AW,88808.0,126479.0,5.0,37671.0,86817.0,124729.00000000001,37912.000000000015,241.00000000001455,-1991.0,-1749.9999999999854
3,TMT2Uc,True,AW,126480.0,181151.0,6.0,54671.0,126895.00000000001,171918.0,45022.999999999985,-9648.000000000015,415.00000000001455,-9233.0
4,TMT2Uc,True,AW,184552.0,217225.0,8.0,32673.0,184189.00000000003,215163.0,30973.99999999997,-1699.000000000029,-362.9999999999709,-2062.0
5,TMT2Uc,True,AW,217226.0,264043.0,9.0,46817.0,217251.0,262281.0,45030.0,-1787.0,25.0,-1762.0
6,TMT2Uc,True,AW,267240.0,301710.0,11.0,34470.0,267104.00000000006,299544.00000000006,32440.0,-2030.0,-135.9999999999418,-2165.999999999942
7,TMT2Uc,True,AW,301711.0,349112.0,12.0,47401.0,301763.00000000006,346793.0,45029.99999999994,-2371.000000000058,52.00000000005821,-2319.0
0,cPWHF4,True,GS,5580.0,51705.0,0.0,46125.0,5372.000000000001,50544.00000000001,45172.00000000001,-952.9999999999927,-207.9999999999991,-1160.9999999999927
1,cPWHF4,True,GS,55305.0,89055.0,1.0,33750.0,55349.00000000001,87829.00000000001,32480.000000000007,-1269.9999999999927,44.000000000007276,-1225.9999999999854
2,cPWHF4,True,GS,92745.0,138510.0,2.0,45765.0,92815.00000000001,137975.00000000003,45160.000000000015,-604.9999999999854,70.00000000001455,-534.9999999999709
3,cPWHF4,True,GS,142785.0,188820.0,3.0,46035.0,142690.0,187846.0,45156.0,-879.0,-95.0,-974.0
4,cPWHF4,True,GS,192735.0,238545.0,4.0,45810.0,192858.0,238002.0,45144.0,-666.0,123.0,-543.0
5,cPWHF4,True,GS,243090.0,288540.0,5.0,45450.0,242746.0,287904.0,45158.0,-292.0,-344.0,-636.0
6,cPWHF4,True,GS,292725.0,327580.0,6.0,34855.0,292836.0,326336.0,33500.0,-1355.0,111.0,-1244.0
7,cPWHF4,True,GS,330975.0,354735.0,7.0,23760.0,331207.0,354077.0,22870.0,-890.0,232.0,-658.0
8,cPWHF4,True,GS,356040.0,367000.0,8.0,10960.0,356691.00000000006,366221.0,9529.999999999942,-1430.0000000000582,651.0000000000582,-779.0
9,cPWHF4,True,GS,368010.0,414002.0,9.0,45992.0,368673.0,413851.0,45178.0,-814.0,663.0,-151.0
10,cPWHF4,True,GS,416700.0,423935.0,10.0,7235.0,415931.00000000006,423231.00000000006,7300.0,65.0,-768.9999999999418,-703.9999999999418
11,cPWHF4,True,GS,426140.0,434925.0,11.0,8785.0,425453.00000000006,434257.0,8803.999999999942,18.999999999941792,-686.9999999999418,-668.0
0,SFBBJX,False,AW,6603.0,39688.0,2.0,33085.0,6799.0,37872.0,31073.0,-2012.0,196.0,-1816.0
1,SFBBJX,False,AW,39689.0,88749.0,3.0,49060.0,41739.00000000001,86947.0,45207.99999999999,-3852.0000000000073,2050.0000000000073,-1802.0
2,SFBBJX,False,AW,92797.0,125314.0,5.0,32517.0,93184.00000000001,123107.00000000001,29923.0,-2594.0,387.00000000001455,-2206.9999999999854
3,SFBBJX,False,AW,125315.0,177286.0,6.0,51971.0,126496.00000000001,171671.00000000003,45175.000000000015,-6795.999999999985,1181.0000000000146,-5614.999999999971
4,SFBBJX,False,AW,181405.0,216549.0,8.0,35144.0,181234.0,213826.00000000003,32592.00000000003,-2551.999999999971,-171.0,-2722.999999999971
5,SFBBJX,False,AW,216550.0,264403.0,9.0,47853.0,217282.0,262513.00000000006,45231.00000000006,-2621.999999999942,732.0,-1889.9999999999418
6,SFBBJX,False,AW,268167.0,308352.0,11.0,40185.0,268777.00000000006,306820.0,38042.99999999994,-2142.000000000058,610.0000000000582,-1532.0
7,SFBBJX,False,AW,308353.0,364655.0,12.0,56302.0,310185.0,355852.00000000006,45667.00000000006,-10634.999999999942,1832.0,-8802.999999999942
0,273QdB,True,AW,5772.0,38739.0,2.0,32967.0,6468.0,36341.0,29873.0,-3094.0,696.0,-2398.0
1,273QdB,True,AW,38740.0,88035.0,3.0,49295.0,40327.00000000001,85534.0,45206.99999999999,-4088.0000000000073,1587.0000000000073,-2501.0
2,273QdB,True,AW,92300.0,131455.0,5.0,39155.0,91431.00000000001,129408.00000000001,37977.0,-1178.0,-868.9999999999854,-2046.9999999999854
3,273QdB,True,AW,131456.0,184703.0,6.0,53247.0,132778.00000000003,177914.00000000003,45136.0,-8111.0,1322.000000000029,-6788.999999999971
4,273QdB,True,AW,194584.0,227551.0,8.0,32967.0,194678.00000000003,225738.00000000003,31060.0,-1907.0,94.0000000000291,-1812.999999999971
