,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s)
81,KNRZ66,,2,fam,barrier-jump,0.918000387263212,27.136,12.819
82,KNRZ66,,3,fam,barrier-jump,0.8816091976846967,33.876,17.793
83,KNRZ66,,4,fam,barrier-jump,0.885586614944996,44.861,13.07
84,KNRZ66,,5,fam,barrier-jump,0.907224809694158,35.524,17.28
85,KNRZ66,,6,fam,barrier-jump,0.9180098770062128,4.751,7.849
86,KNRZ66,,7,testA,barrier-jump,0.8531526065928675,13.904,11.583
87,KNRZ66,,8,testA,barrier-jump-repeat-1,0.8206654700780669,19.261,18.749
88,KNRZ66,,9,testB,barrier-jump,0.9236925070917148,9.266,12.246
89,KNRZ66,,10,testA,barrier-jump,0.9445477979523796,6.706,8.854
90,KNRZ66,,11,testB,barrier-jump,0.849770125761554,13.405,8.822
91,LQcEUF,,1,fam,barrier-jump,0.9779997532575886,53.616,5.221
92,LQcEUF,,2,fam,barrier-jump,0.9566191881895064,59.123,0.577
93,LQcEUF,,3,fam,barrier-jump,0.9300432262225968,55.794,2.971
94,LQcEUF,,4,fam,barrier-jump,0.9487322971607344,53.21,5.684
95,LQcEUF,,5,fam,barrier-jump,0.9187969416560549,55.111,4.115
96,LQcEUF,,6,fam,barrier-jump,0.9516239246882704,56.712,2.944
97,LQcEUF,,7,testA,barrier-jump,0.910161766248156,20.923,12.924
98,LQcEUF,,8,testB,barrier-jump,0.8942839472170866,53.174,4.999
99,LQcEUF,,9,testA,barrier-jump,0.9008996735352736,53.882,4.794
100,LQcEUF,,10,testB,barrier-jump,0.9076833053484542,58.225,0.778
101,P37YTZ,,1,fam,barrier-jump,0.8822661782555308,49.378,9.469
102,P37YTZ,,2,fam,barrier-jump,0.913941398707634,47.813,10.823
103,P37YTZ,,3,fam,barrier-jump,0.8726132757128766,42.744,15.856
104,P37YTZ,,4,fam,barrier-jump,0.8904937698430306,49.218,9.577
105,P37YTZ,,5,fam,barrier-jump,0.9030481144584124,51.276,6.948
106,P37YTZ,,6,fam,barrier-jump,0.8835983341499682,40.394,16.8
107,P37YTZ,,7,testB,barrier-jump,0.8714928642523776,41.185,16.537
108,P37YTZ,,8,testA,barrier-jump,0.8773861802331934,50.274,6.918
109,P37YTZ,,9,testB,barrier-jump,0.8668490271568299,12.24,1.226
110,P37YTZ,,10,testA,barrier-jump,0.8648701016161893,44.826,9.876
111,PG5HNX,,1,fam,barrier-jump,0.8531449864495475,5.008,27.493
112,PG5HNX,,2,fam,barrier-jump,0.8148065196431201,3.955,47.348
113,PG5HNX,,3,fam,barrier-jump,0.7243766561150551,2.718,44.243
114,PG5HNX,,4,fam,barrier-jump,0.598605579800076,0.335,17.749
115,PG5HNX,,5,fam,barrier-jump,0.6999132439147594,1.267,4.879
116,PG5HNX,,6,fam,barrier-jump,0.8179436649594988,0.921,1.868
